stop_id,stop_code,stop_lat,stop_lon
MAIHIGE,1644,39.956245,-82.998472
MAI4THE,1645,39.956609,-82.994657
5THCASE,1646,39.985015,-82.931134
5THALTE,1648,39.984885,-82.926497
5THRARE,1649,39.984808,-82.92403
CLEOLDS,1652,40.119894,-82.948615
CLE340S1,1653,40.116707,-82.948828
7THSTEE,1654,39.98622,-82.913699
OSB5THS,1655,39.984802,-82.912771
5THKRUW,1657,39.984723,-82.917568
5THSTERW,1658,39.9848,-82.92061
5THRARW,1659,39.984872,-82.92345
5THALTW,1660,39.985008,-82.926679
5THCASW,1662,39.985168,-82.931295
MOUTAYW,1673,39.974224,-82.961594
MOUGRAHW,1674,39.973811,-82.96405
MOUCHAW,1675,39.973063,-82.968466
MOU22NW,1676,39.972568,-82.971234
MOUMIAW,1678,39.972024,-82.974453
MOCCENW,1681,40.011426,-82.946647
MARSTCW,1682,39.970842,-82.980551
SPRHAMW,1683,39.9688,-82.982306
CLECOPS,1684,40.11264,-82.949147
CLESCHS,1685,40.110874,-82.949279
CLEHOMS,1686,40.098294,-82.950155
NEIHUBN,1691,39.978292,-83.01119
NEI1STN,1692,39.980278,-83.011604
NEI3RDN,1693,39.98355,-83.01225
NEI4THN,1694,39.985367,-83.012615
NEI5THN,1695,39.98716,-83.012959
NEIOPPS,1702,39.995308,-83.014715
NEI8THN,1706,39.992315,-83.013973
NEI7THS,1707,39.989553,-83.013617
NEI5THS,1708,39.987521,-83.013213
NEI4THS,1709,39.985749,-83.012868
NEI2NDS,1710,39.982199,-83.012174
NEIWILS,1711,39.979517,-83.011644
KIMMERE,1712,39.926107,-82.886452
11TINDE,1717,39.994524,-83.002614
11T4THE,1719,39.994369,-82.999378
11TESSE,1722,39.993875,-82.987243
HAM17TN,1724,40.000858,-82.979849
HAMDUXN,1729,40.009025,-82.979308
HAMCLIN,1730,40.011975,-82.979106
MCGHUDN,1732,40.014765,-82.981373
MCGBRIN,1733,40.016961,-82.981378
MCGOPPN,1734,40.019499,-82.981438
MCGABEN,1735,40.021286,-82.981474
MCGWEBN,1736,40.023274,-82.981392
MCGDELN,1737,40.025763,-82.981144
